params,ari_mean,ari_std,ari_median,nmi_mean,nmi_std,nmi_median,silhouette_mean,silhouette_std,silhouette_median,davies_bouldin_mean,davies_bouldin_std,davies_bouldin_median,coverage_mean,coverage_std,coverage_median,n_runs_ok,dataset,config_id
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 3, 'n_transporter_agents': 20, 'tau_percentile': 25, 'iterations': 2500}",0.284802504561952,0.05882020586289108,0.2839114466529063,0.49743120688735487,0.03621610285293864,0.49956218114503775,-0.591675112537612,0.0561059578423847,-0.6013092446765396,11.045135436626564,2.273247287388261,10.614499437739934,0.996441947565543,0.006878040326669275,1.0,30,wine,149
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 3, 'n_transporter_agents': 10, 'tau_percentile': 25, 'iterations': 2500}",0.28462176390486754,0.06449681411286726,0.2772937701659769,0.4977569930505882,0.034570581685728456,0.49138770856727443,-0.5875833625129129,0.05998788014918971,-0.5994860905153445,12.455008301889583,4.056914897905183,13.242896973235212,0.9925093632958802,0.018707855795868433,1.0,30,wine,147
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 20, 'n_transporter_agents': 10, 'tau_percentile': 25, 'iterations': 2500}",0.28366314330388875,0.047613113905351036,0.26945302176693287,0.4884691877848796,0.032012484036332396,0.4899833277747311,-0.4957100457960382,0.07325761694011473,-0.5059931243174149,12.432909336536557,2.8010321937671594,11.827816449060535,1.0,0.0,1.0,30,wine,141
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 3, 'n_transporter_agents': 20, 'tau_percentile': 15, 'iterations': 2500}",0.2823737036427895,0.060555549095800666,0.2722890431167434,0.47992558606278535,0.030322416322241322,0.4916375734243507,-0.5124327207204729,0.06397105887693096,-0.5081550856387158,15.187916790546431,4.84251670713074,15.081057869836991,0.9958801498127342,0.0112297111240187,1.0,30,wine,130
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 10, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.28040377717685033,0.05921817104445226,0.275686067250528,0.5003578331998059,0.03472336354623766,0.5031060386210167,-0.5680531370456742,0.058506143375149505,-0.5866913980914705,11.672257909322463,3.989524737524703,10.395496878246423,1.0,0.0,1.0,30,wine,151
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 3, 'n_transporter_agents': 10, 'tau_percentile': 15, 'iterations': 2500}",0.27855938366496724,0.05631951481997826,0.27637731665249565,0.48636558958087023,0.03771368137907265,0.4884814986839868,-0.5139170616112222,0.060344051051648064,-0.5107313681438003,12.94665417642403,3.802528799562794,11.976493683688767,0.9977528089887641,0.004722666746411431,1.0,30,wine,128
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 3, 'n_transporter_agents': 3, 'tau_percentile': 15, 'iterations': 2500}",0.27760476813659296,0.07211490284783816,0.26209741607004167,0.43873089144093386,0.057989485517023154,0.4407818351172724,-0.4165852621408993,0.07937075522468416,-0.4236774811854022,15.36408936748368,10.97151242772523,12.323385434689708,0.999812734082397,0.0010084578290514075,1.0,30,wine,108
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 20, 'n_transporter_agents': 20, 'tau_percentile': 25, 'iterations': 2500}",0.27619906278847434,0.05021398165389987,0.2704837748197173,0.49864369856502017,0.026965231604271316,0.5020809282990504,-0.5903041385190467,0.051027454575820766,-0.5925167325632662,11.89424399505965,3.00154523378987,11.067776368928495,1.0,0.0,1.0,30,wine,161
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 10, 'n_transporter_agents': 10, 'tau_percentile': 25, 'iterations': 2500}",0.27616500705890423,0.05573250504557662,0.27550389471749687,0.49711918774647085,0.028828364506800288,0.49674066248110194,-0.5571323074265646,0.05828135917282144,-0.5506395228354767,10.883579964808193,2.642791390065358,10.620091426279767,1.0,0.0,1.0,30,wine,153
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 3, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.2752087325041867,0.08844942302156407,0.26366226338158383,0.4348833045305514,0.0658456625546436,0.4187231988549162,-0.41614794055499266,0.08468804840187129,-0.4323449838901089,12.183514357487763,5.390136624010553,12.236193365864933,0.9988764044943821,0.004204109423341519,1.0,30,wine,109
